year2,sic1,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp,d_flag
1977,07,35945,36976,275551,253803,7306,19.8,7083,19.2,105857,60750,45107,23.9,41.7,62360,28458,33902,11.2,24.6,43497,17.1,49.2,4996,5006,19331,0
1977,10,19363,25448,800256,770048,4347,17.5,3193,12.8,184197,75432,108765,9.8,23.9,123781,50050,73731,6.5,16.1,60416,7.8,32.2,1949,1958,20198,0
1977,15,383365,388916,3398401,3299285,81821,21.7,56837,15,981095,365576,615519,11.1,29.7,782864,261504,521360,7.9,23.7,198231,6,47.4,38150,38173,174431,0
1977,20,259987,316750,19326182,18853860,38800,12.4,31186,10,2725261,779366,1945895,4.1,14.5,1780616,544425,1236191,2.9,9.4,944645,5.1,18.8,21326,21409,252009,0
1977,40,121029,163437,4303510,4107418,24749,15.5,17462,10.9,980625,257679,722946,6.3,23.9,588441,139602,448839,3.4,14.3,392184,9.6,28.6,11998,12059,74049,0
1977,50,275205,367735,4758252,4613991,55677,15.4,41893,11.6,1086152,465285,620867,10.1,23.5,797631,365454,432177,7.9,17.3,288521,6.2,34.6,22749,22973,163079,0
1977,52,939857,1240959,13582593,13188542,231929,19,189237,15.5,3497552,1911207,1586345,14.5,26.5,2709450,1321361,1388089,10,20.5,788102,6,41,129237,130349,792166,0
1977,60,297792,388356,4519241,4397619,49182,12.8,39293,10.2,797990,294453,503537,6.7,18.1,554746,190313,364433,4.3,12.6,243244,5.5,25.2,25909,26023,97715,0
1977,70,1118349,1225215,15127827,14503051,203938,17.1,139824,11.7,3560787,1649154,1911633,11.4,24.6,2311236,1008461,1302775,7,15.9,1249551,8.7,31.8,94622,95017,631985,0
1978,07,37026,38046,259192,267230,7303,19.5,6144,16.4,82655,31556,51099,11.8,30.9,98730,35982,62748,13.5,36.9,-16075,-6,61.8,3817,3827,15971,0
1978,10,19538,25647,785872,792426,4017,15.7,3655,14.3,167583,56094,111489,7.1,21.1,180692,63522,117170,8,22.8,-13109,-1.7,42.2,1991,2000,18635,0
1978,15,410065,415537,3861717,3625943,91975,22.9,64182,16,1273933,420881,853052,11.6,35.1,802386,323076,479310,8.9,22.1,471547,13,44.2,43397,43415,201030,0
1978,20,262302,318601,20090985,19711521,37094,11.7,34910,11,2754691,628470,2126221,3.2,14,1995764,762264,1233500,3.9,10.1,758927,3.9,20.2,22477,22547,277131,0
