date,naics3,nbonds,spr_avg,spr_p50,spr_std,nbonds*spr_avg
1973Q1,111,3,1.1056,1.1081,0.0756,3.3168
1973Q2,111,3,1.0989,1.0698,0.0855,3.2967
1973Q3,111,3,1.0028,1.0384,0.1463,3.0084
1973Q4,111,3,1.3815,1.3417,0.0842,4.1445
1974Q1,111,3,1.2773,1.2704,0.0738,3.8319
1974Q2,111,3,1.3129,1.1378,0.3149,3.9387
1974Q3,111,3,2.0388,1.9586,0.301,6.1164
1974Q4,111,3,2.0862,2.0878,0.1137,6.2586
1975Q1,111,3,1.484,1.447,0.1199,4.452
1975Q2,111,3,1.2298,1.1826,0.0918,3.6894
1975Q3,111,3,1.2448,1.2561,0.045,3.7344
1975Q4,111,3,1.0403,1.0672,0.0646,3.1209
1976Q1,111,3,0.9047,0.8885,0.0763,2.7141
1976Q2,111,3,0.9118,0.9085,0.0574,2.7354
1976Q3,111,3,0.888,0.8815,0.0205,2.664
1976Q4,111,3,0.9527,0.8961,0.1916,2.8581
1977Q1,111,3,0.9404,0.9339,0.0198,2.8212
1977Q2,111,3,0.7417,0.7388,0.0152,2.2251
1977Q3,111,3,0.846,0.8848,0.0801,2.538
1977Q4,111,3,0.8215,0.8373,0.0711,2.4645
1978Q1,111,3,0.6874,0.7265,0.0782,2.0622
1978Q2,111,3,0.6102,0.6548,0.0946,1.8306
1978Q3,111,3,0.5289,0.511,0.0402,1.5867
1978Q4,111,3,0.4234,0.4287,0.0937,1.2702
1979Q1,111,3,0.4739,0.4736,0.0509,1.4217
1979Q2,111,3,0.5324,0.5462,0.1538,1.5972
1979Q3,111,3,0.3878,0.3347,0.1165,1.1634
1979Q4,111,3,0.4412,0.5676,0.2395,1.3236
1980Q1,111,3,0.6479,0.7639,0.2236,1.9437
1980Q2,111,3,0.5916,0.5465,0.2113,1.7748
1980Q3,111,3,0.4089,0.4502,0.12,1.2267
1980Q4,111,3,0.6862,0.6762,0.2617,2.0586
